application_id,received,status,license_class,legal_name,trade_name,premises_address,city,zip,county
NA-0370-26-327975,2026-09-18,IntakeComplete,Food & Beverage Business,"Kenan Center, Inc.",Kenan Center,433 Locust St,Lockport,14094,Niagara
NA-0340-26-227966,2026-09-18,IntakeComplete,Restaurant,Himalayan Food House LLC,Himalayan Food House,609 Route 6,Mahopac,10541,Putnam
NA-0081-26-127959,2026-09-18,IntakeComplete,Grocery Store,J&D Market Corp,,1293 Castleton Ave,Staten Island,10310,Richmond
NA-0071-26-227961,2026-09-18,IntakeComplete,Grocery Store,Alba Quality Foods LLC,Geraci's Market,16 Mill St,Newburgh,12550,Orange
NA-0071-26-327954,2026-09-18,IntakeComplete,Grocery Store,Nona's Backyard Bites LLC,,9005 E Otto Springville Rd,East Otto,14729,Cattaraugus
NA-0340-26-127945,2026-09-18,IntakeComplete,Restaurant,RVC Food Group LLC,,13 N Park Ave,Rockville Centre,11570,Nassau
NA-0340-26-127929,2026-09-18,IntakeComplete,Restaurant,Ardore 28 Corp.,Acqua 28 Farina,370 Halstead Ave,Harrison,10528,Westchester
NA-0340-26-127934,2026-09-18,IntakeComplete,Restaurant,Hoshi Steak House Inc,,"35 W Main Street Suite # 35, 37, 41",Patchogue,11772,Suffolk
NA-0370-26-327925,2026-09-18,IntakeComplete,Food & Beverage Business,"Corie's Catering, Inc.",,1840 Military Rd,Kenmore,14217,Erie
NA-0100-26-127916,2026-09-18,IntakeComplete,Liquor Store,Elvis Wine and Liquor LLC,Levino Wine Merchants,171 Mamaroneck Ave,White Plains,10601,Westchester
NA-0100-26-127922,2026-09-18,IntakeComplete,Liquor Store,BUSH & JEFF LIQUOR CORPORATION,Wines & Liquor,1197 Bushwick Ave,Brooklyn,11221,Kings
NA-0340-26-327918,2026-09-18,IntakeComplete,Restaurant,Dakshin by Anbu Group Inc.,,739 Clinton Ave S Unit 1606,Rochester,14620,Monroe
NA-0071-26-127914,2026-09-18,IntakeComplete,Grocery Store,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #31422,335 Route 25A,Miller Place,11764,Suffolk
NA-0370-26-127903,2026-09-18,IntakeComplete,Food & Beverage Business,Brooklyn Starling LLC,,1702 Stanhope St,Ridgewood,11385,Queens
NA-0358-26-227899,2026-09-18,IntakeComplete,Railroad car,"Adirondack Railway Preservation Society, Inc.",,321 Main St,Utica,13501,Oneida
NA-0340-26-127893,2026-09-18,IntakeComplete,Restaurant,B&H Hospitality Corp.,,40-17 Broadway,Long Island City,11103,Queens
NA-0009-26-127895,2026-09-18,IntakeComplete,Wholesale Liquor,GRAND PRIX BEVERAGE LLC,,19-08 42nd St,Astoria,11105,Queens
NA-0081-26-127891,2026-09-18,IntakeComplete,Grocery Store,Ocean Park Gourmet Deli Corp.,,1721 Seagirt Blvd,Far Rockaway,11691,Queens
NA-0358-26-227890,2026-09-18,IntakeComplete,Railroad car,"Adirondack Railway Preservation Society, Inc",,321 Main St,Utica,13501,Oneida
NA-0071-26-127882,2026-09-18,IntakeComplete,Grocery Store,Royalty Plus Deli & Grocery Corp.,,918 Freeman St,Bronx,10459,Bronx
NA-0340-26-127871,2026-09-18,IntakeComplete,Restaurant,Teos Group LLC,,446 Dean St Ste A,Brooklyn,11217,Kings
NA-0100-26-127876,2026-09-18,IntakeComplete,Liquor Store,OAK CAPITAL HOLDING LLC,Pidgeon Hill Wine & Spirits,552 E Jericho Tpke,Huntington Station,11746,Suffolk
NA-0009-26-127866,2026-09-18,IntakeComplete,Wholesale Liquor,"NEW YORK DISTILLING COMPANY, LLC",New York Distilling,573 Johnson Ave,Brooklyn,11237,Kings
NA-0340-26-127859,2026-09-18,IntakeComplete,Restaurant,Bameegao LLC,,452 Amsterdam Ave,New York,10024,New York
NA-0370-26-127848,2026-09-18,IntakeComplete,Food & Beverage Business,59 West 21 Street LLC,,59 W 21st St,New York,10010,New York
