account_number,name,entity_type,status,registered,domestic_or_foreign,formation_place,naics,street,city,state,zip,email
3251874,Katie's Garden LLC,LLC,Active,2026-09-11,Domestic,Connecticut,All Other Miscellaneous Crop Farming (111998),182 W High St,East Hampton,CT,06424-2113,katiesgardenllc@gmail.com
3480607,"Connecticut Healthcare Cost Initiative, Inc.",Non-Stock,Active,2026-09-11,Domestic,Connecticut,Other Social Advocacy Organizations (813319),,,,,thachwa@baileycav.com
3480719,"Recovery Point Systems, Inc.",Stock,Active,2026-09-11,Foreign,DELAWARE,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services (518210)",75 W Watkins Mill Rd,Gaithersburg,MD,20878-4021,dcutsail@recoverypoint.com
3494680,APAAR LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),228 Meadows End Rd,Monroe,CT,06468-1760,rhituraj.sarma@outlook.com
3510495,Enter Inc.,Stock,Active,2026-09-11,Foreign,DELAWARE,Software Publishers (513210),,,,,geovana.guimaraes@getenter.ai
3512659,Gale Engineers and Architects PC,Stock,Active,2026-09-11,Foreign,NEW JERSEY,Architectural Services (541310),703 Hebron Ave,Glastonbury,CT,06033-5000,chogan@galeengineersandarchitects.com
3512698,JSG REMODELING INC.,Stock,Active,2026-09-11,Foreign,NEW YORK,Residential Remodelers (236118),12 Chestnut St,Port Chester,NY,10573-3121,cg599380@gmail.com
3512714,NEW HOLLAND BREWING COMPANY LLC,LLC,Active,2026-09-11,Foreign,MICHIGAN,Distilleries (312140),690 Commerce Ct,Holland,MI,49424-2913,compliance.admin@newhollandbrew.com
3512809,Razorpay Payments International Inc.,Stock,Active,2026-09-11,Foreign,DELAWARE,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",201 Spear Street (c/o Volker Steinle),San Francisco,CA,94105,compliance_rpii@razorpay.com
3513754,Executive Roofing & Remodeling LLC,LLC,Active,2026-09-11,Foreign,RHODE ISLAND,Commercial and Institutional Building Construction (236220),121 Huntinghouse Rd,North Scituate,RI,02857-2853,info@executiverr.com
3513872,Rotolo Realty LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Lessors of Other Real Estate Property (531190),14 Ruthellen Rd,Framingham,MA,01701-3841,vinnyrotolo@yahoo.com
3514178,303 Weed LLC,LLC,Active,2026-09-11,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),303 Weed Ave,Stamford,CT,06902-5409,msaade1914@yahoo.com
3514352,Maverick Technology Insurance Services LLC,LLC,Active,2026-09-11,Foreign,DELAWARE,Insurance Agencies and Brokerages (524210),1905 Sherman St. 200-1124,Denver,CO,80203,compliance@mgtinsurance.com
3514490,"Relevate, LLC",LLC,Active,2026-09-11,Foreign,ARIZONA,"All Other Professional, Scientific, and Technical Services (541990)",3133 W Frye Rd,Chandler,AZ,85226-5110,michibutler@relevatewith.us
3514507,"Drs Choices Insurance Services, Inc.",Stock,Active,2026-09-11,Foreign,NEW JERSEY,Insurance Agencies and Brokerages (524210),52 Forest Ave,Paramus,NJ,07652,judith@drschoices.com
3514544,Flor Del Sol Limited Liability Co.,LLC,Active,2026-09-11,Domestic,Connecticut,Mobile Food Services (722330),20 South St,hartford,CT,06114,flordelsolct@gmail.com
3514558,"HQ-Pack, Inc.",Stock,Active,2026-09-11,Foreign,INDIANA,All Other Automotive Repair and Maintenance (811198),409 Joyce Kilmer Ave,New Brunswick,NJ,08901,eric@ericallred.com
