license_id,issued,license_type,tier,status,trade_name,owner,address,city,zip,county,phone
200192713,2026-09-08,MB,Retail,Active,Urla,Urla Legacy LLC,7300 Lone Star Dr,Plano,75024,Collin,
200194137,2026-09-08,BG,Retail,Active,TAQUERIA LA REALEZA,Taqueria La Realeza Corp,1831 N Zaragoza Rd,El Paso,79936,El Paso,
200196278,2026-09-08,MB,Retail,Active,El Calamar Comida Mexicana,"El Calamar Comida Mexicana, LLC",2425 W Walnut St,Garland,75042,Dallas,
200196526,2026-09-08,BG,Retail,Active,Crazy Fruits LLC,"CRAZY FRUITS, LLC",729 E Slaughter Ln,Austin,78744,Travis,
200197119,2026-09-08,BE,Retail,Active,Duck & Pot Hub,BTZ Enterprise 1 LLC,23119 Colonial Pkwy # c13-c14,Katy,77449,Harris,
200197601,2026-09-08,MB,Retail,Active,The LIVIVO Music Hall,"The LIVIVO Music Hall, LLC",800 North Expressway,Brownsville,78521,Cameron,
200198282,2026-09-08,Q,Retail,Active,Daily Goods Food Mart,SS1 King LLC,209 E Loop 121,Belton,76513,Bell,
200198689,2026-09-08,BG,Retail,Active,Kalamaki Greek Eatery,Kalamaki Greek Inc,1016 E 15th St,Plano,75074,Collin,
200199790,2026-09-08,BG,Retail,Active,Mattenga's Pizzeria,Mattenga's NB Market LLC,675 N Business IH-35,New Braunfels,78130,Comal,
200200030,2026-09-08,BQ,Retail,Active,TEXAN VAPOR & BEER,OM ROMA LLC,806 E Omega St,Henrietta,76365,Clay,
200200248,2026-09-08,MB,Retail,Active,TWISTED J LIVE,37 HOSPITALITY GROUP LLC,2281 HWY 377 N,Stephenville,76401,Erath,
200200838,2026-09-08,BQ,Retail,Active,Rumba Latin Market,Qva Services LLC,3302 W Illinois Ave,Midland,79703,Midland,
200201074,2026-09-08,MB,Retail,Active,Fredericksburg KOA Resort,"KOA Texas Beverage Company, LLC",326 KOA Way,Fredericksburg,78624,Gillespie,
200201213,2026-09-08,Q,Retail,Active,APOLLO RETAIL PIONEER TEXAS LLC,APOLLO RETAIL PIONEER TEXAS LLC,4243 W Pioneer Dr,Irving,75061,Dallas,
200201264,2026-09-08,P,Retail,Active,TRIPLETS LIQUOR,RAM2626 BUSINESS LLC,731 Probandt,San Antonio,78204,Bexar,
200201758,2026-09-08,BE,Retail,Active,MOD Pizza,New Vibes Holdings LLC,2168 Spring Stuebner Rd,Spring,77389,Harris,
200202038,2026-09-08,BG,Retail,Active,Robert L Steffins Post #180 The American Legion,"Robert L. Steffins Post #180, The American Legion,",145 American Legion Rd,Smithville,78957,Bastrop,
200202189,2026-09-08,P,Retail,Active,Liquor City,MAGL Investments Inc,9720 Hwy 6,Missouri City,77459,Fort Bend,
200202564,2026-09-08,BG,Retail,Active,Charlie's,Lone Star Charlie's Family Restaurant LLC,1910 E Denman Ave,Lufkin,75901,Angelina,
200202995,2026-09-08,Q,Retail,Active,DaVinci's,"Wildflower Wines, LLC",2900 E NASA Pkwy,Seabrook,77586,Harris,
200203443,2026-09-08,BQ,Retail,Active,MAISAH FOOD #8,M & M SISTERS @ CROSBY LLC,"""17212 Bohemian Hall Rd, BLDG. """"A""""""",Crosby,77532,Harris,
200203721,2026-09-08,BE,Retail,Active,Pour Decisions,PD HEIGHTS LLC,555 W 19th St,Houston,77008,Harris,
