entity_id,name,formed,entity_type,status,jurisdiction,street,street_2,city,state,zip,agent_organization,agent_city
20268161031,Forsyth Asset Management Limited,2026-09-20,DPC,Good Standing,CO,1500 N GRANT ST STE R,,DENVER,CO,80203,Registered Agents Inc,Denver
20268161037,KNAUER GLOBAL TRADING INC,2026-09-20,DPC,Good Standing,CO,"2000 Colorado Blvd, Tower 1, Suite 2000",,Denver,CO,80222,Trusted Agency Inc.,Denver
20268161039,Aestus Forge Inc,2026-09-20,DPC,Good Standing,CO,2021 Clubhouse Dr Ste 100,,Greeley,CO,80634,Registered Agents Inc,Denver
20268161040,"AMERICAN GAGU PRECISION INDUSTRIES CO., LTD.",2026-09-20,DPC,Good Standing,CO,4849 Raintree Cir,,Parker,CO,80134,Trusted Agency Inc.,Denver
20268161042,Novur Craft Inc,2026-09-20,DPC,Good Standing,CO,2474 Patterson Rd #100,,Grand Junction,CO,81505,Registered Agents Inc,Denver
20268161044,Nodus Anchor Inc,2026-09-20,DPC,Good Standing,CO,900 Airport Rd #2,,Rifle,CO,81650,Registered Agents Inc,Denver
20268161045,Luminaq Flow Inc,2026-09-20,DPC,Good Standing,CO,4703 Boardwalk Dr # B3,,Fort Collins,CO,80525,Registered Agents Inc,Denver
20268161048,Auraq Labs Inc,2026-09-20,DPC,Good Standing,CO,401 W Mulberry St Ste 200,,Fort Collins,CO,80521,Registered Agents Inc,Denver
20268161049,Zenixa Shift Inc,2026-09-20,DPC,Good Standing,CO,5628 19th St #4,,Greeley,CO,80634,Registered Agents Inc,Denver
20268161050,Kynetic Vector Inc,2026-09-20,DPC,Good Standing,CO,120 Park Dr Ste 200,,Grand Junction,CO,81505,Registered Agents Inc,Denver
20268161052,Aethel Matrix Inc,2026-09-20,DPC,Good Standing,CO,550 S Wadsworth Blvd Ste 520,,Lakewood,CO,80226,Registered Agents Inc,Denver
20268161055,Vesper Apex Inc,2026-09-20,DPC,Good Standing,CO,2261 E Drake Rd #135,,Fort Collins,CO,80525,Registered Agents Inc,Denver
20268161059,Clydesdales Creative LLC,2026-09-20,DLLC,Good Standing,CO,3465 S Gaylord Ct Apt B430,,Englewood,CO,80113,,Englewood
20268161063,Fournier Delivery Services LLC,2026-09-20,DLLC,Good Standing,CO,6425 E 70th Pl,,Commerce City,CO,80022,,Commerce City
20268161068,reCODE Performance LLC,2026-09-20,DLLC,Good Standing,CO,110 Midland Avenue,Suite 205,Basalt,CO,81621,"Roaring Fork Wellness Collective, LLC",Basalt
20268161095,Hunting Travel LLC,2026-09-20,DLLC,Good Standing,CO,1105 E 78th Pl,,Denver,CO,80229,,Denver
20268161102,RiseForge,2026-09-20,DNC,Good Standing,CO,306 North Casdade Ave Apt. #3,,Colorado Springs,CO,80903,,Colorado Springs
20268161107,OPN LLC,2026-09-20,DLLC,Good Standing,CO,10116 W Keene Ave,,Denver,CO,80235,,Denver
20268161112,"Majek! Mobile Massage Chairs, LLC",2026-09-20,DLLC,Good Standing,CO,1653 Thrive Dr,,Windsor,CO,80550,,Windsor
20268161119,Joythentic LLC,2026-09-20,DLLC,Good Standing,CO,6635 S Dayton St Ste 310 # 125,,Greenwood Village,CO,80111,,Greenwood Village
20268161120,"CTFB Investments, LLC",2026-09-20,FLLC,Good Standing,OK,1445 Sara Lynn Ln,,Berthoud,CO,80513,,Berthoud
20268161126,Solstice Stays LLC,2026-09-20,DLLC,Good Standing,CO,1839 Marquette Dr,,Erie,CO,80516,,Erie
20268161130,The Elevated Kitchen Ltd.,2026-09-20,DLLC,Good Standing,CO,34326 Highview Dr,,Pine,CO,80470,,Pine
20268161155,ORio Visuals LLC,2026-09-20,DLLC,Good Standing,CO,1500 N Grant St Ste R,,Denver,CO,80203,Registered Agents Inc,Denver
20268161166,Rosedale Automotive LLC,2026-09-20,DLLC,Good Standing,CO,2441 S Lincoln St,,Denver,CO,80210,,Denver
