permit,job_filing,filing_reason,issued,approved,expires,work_type,job_description,estimated_cost,house,street,borough,zip,contractor_license_type,contractor_business,contractor_address,owner_business,owner_city,owner_state,status
B00512095-S5-EW-SP,B00512095-S5,Initial Permit,2026-09-10,2023-07-19,2026-10-30,Sprinklers,"INSTALLATION OF PLUMBING, SPRINKLER AND STANDPIPE SYSTEMS SUBSEQUENT WITH NB APPLICATION # B00512095.",140000,3141,ATLANTIC AVENUE,Brooklyn,11208,F,RRP PLUMBING CORP,106-07 NORTHERN BOULEVARD,ROYAL EXPEDITING,,,Permit Issued
B00512095-S5-PL,B00512095-S5,Initial Permit,2026-09-10,2023-07-19,2026-10-30,Plumbing,"INSTALLATION OF PLUMBING, SPRINKLER AND STANDPIPE SYSTEMS SUBSEQUENT WITH NB APPLICATION # B00512095.",140000,3141,ATLANTIC AVENUE,Brooklyn,11208,P,RRP PLUMBING CORP,106-07 NORTHERN BOULEVARD,ROYAL EXPEDITING,,,Permit Issued
B00863433-S2-ST,B00863433-S2,Initial Permit,2026-09-10,2025-12-17,2026-10-24,Structural,"STRUCTURAL WORK INCONJUNCTION WITH FACADE REPAIRS AS PER PLANS FILED HEREWITH. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",373647.39,47,PLAZA STREET WEST,Brooklyn,11215,GC,C.C.C. RENOVATION INC,31-07 STARR AVENUE SUITE 1,,,,Permit Issued
B01012866-S2-MS,B01012866-S2,Initial Permit,2026-09-10,2025-10-20,2026-09-22,Mechanical Systems,SUBSEQUENT FILING OF MECHANICAL WORK FROM GROUND FLOOR TO ROOF AS PER PLANS IN CONJUNCTION WITH NB JOB #B01012866.,0,2703,HARWAY AVENUE,Brooklyn,11214,GC,FUNG TAI CONSTRUCTION INC,8832 26TH AVENUE 2ND FL,PR,,,Permit Issued
B01012889-S2-MS,B01012889-S2,Initial Permit,2026-09-10,2025-10-20,2026-09-22,Mechanical Systems,SUBSEQUENT FILING OF MECHANICAL WORK AT GROUND FLOOR TO ROOF AS PER PLANS IN CONJUNCTION WITH NB JOB #B01012889.,0,2705,HARWAY AVENUE,Brooklyn,11214,GC,FUNG TAI CONSTRUCTION INC,8832 26TH AVENUE 2ND FL,PR,,,Permit Issued
B01017854-S4-MS,B01017854-S4,Initial Permit,2026-09-10,2025-12-16,2026-10-31,Mechanical Systems,"PROVIDE AIR-CONDITIONING UNITS, HEAT PUMP, FAN COIL UNITS, AND FANS AT 4TH FLOOR, BULKHEAD, AND OSP. NO CHANGE TO USE, OCCUPANCY, OR EGRESS.",11700,135,PACIFIC STREET,Brooklyn,11201,GC,ONE CAPITAL RENOVATION CO,109 DIAMOND STREET,,,,Permit Issued
B01040399-S2-PL,B01040399-S2,Initial Permit,2026-09-10,2024-11-14,2026-12-21,Plumbing,PLUMBING WORK FILED IN CONJUNCTION WITH RENOVATION FOR 1 FAMILY RESIDENCE. INSTALL PLUMBING FIXTURES AND RELATED PIPING. INSTALL NEW COMBINED PLUMBING & SPRINKLER WATER SERVICE.,108750,348,GRAND AVENUE,Brooklyn,11238,P,AURA PLUMBING INC,3275 STEINWAY ST SUITE #202,PR,,,Permit Issued
B01175387-S3-PL,B01175387-S3,Initial Permit,2026-09-10,2026-02-19,2026-12-20,Plumbing,PLUMBING SPECIFICATIONS FILED IN CONJUNCTION WITH GC APPLICATION B01175387-I1,150000,201,GATES AVENUE,Brooklyn,11238,P,ADD MECHANICAL INC,589 EAST 56TH STREET,Y&Z DEVELOPERS INC.,,,Permit Issued
B01175387-S4-EW-SP,B01175387-S4,Initial Permit,2026-09-10,2025-12-24,2026-11-17,Sprinklers,SPRINKLER SPECIFICATIONS FILED IN CONJUNCTION WITH GC APPLICATION B01175387-I1,80000,201,GATES AVENUE,Brooklyn,11238,F,WNW & SONS PLUMBING & HTG,589 EAST 56TH STREET,Y&Z DEVELOPERS INC.,,,Permit Issued
B01177756-I1-EW-SP,B01177756-I1,Initial Permit,2026-09-10,2025-07-10,2027-01-01,Sprinklers,"SPRINKLER WORK AS PER PLANS. NO CHANGE OF USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION.",8111,172,PEARL STREET,Brooklyn,11201,F,I.M.P. PLUMBING & HEATING CORP.,412 8th Avenue,CITY UNIVERSITY OF NEW YORK,,,Permit Issued
